cmdline:'/home/user/deepstate/kdl222_cs49.....--no_fork --min_log_level 2', bin:'/home/user/deepstate/kdl222_cs499_sp20/assignment2/starRuler/string_H' inputDir:'/tmp/deepstate_fake_seedav8u1rm3', fuzzStdin:false, mutationsPerRun:6, timeout:10, mutationsMax:0, threadsMax:1
Entering phase 1/3: Dry Run
Launched new fuzzing thread, no. #0
Size:3 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5049
Size:4522 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5050
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5051
Size:5286 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5052
Size:102 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5053
Size:5024 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5054
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5055
Size:1818 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5056
Size:12 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5057
Size:1496 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5058
Size:5218 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/7, Tot:0/0/0/348/12/5065
Size:11 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5066
Size:1 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5067
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5068
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5069
Size:108 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5070
Size:120 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5071
Size:2670 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/22, Tot:0/0/0/348/12/5093
Size:51 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5094
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5095
Size:390 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5096
Size:46 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/2, Tot:0/0/0/348/12/5098
Size:69 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5099
Size:2937 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/15, Tot:0/0/0/348/12/5114
Size:2 (i,b,hw,ed,ip,cmp): 0/0/0/0/0/1, Tot:0/0/0/348/12/5115
